"ip"	"date"	"reason"
"45.190.248.130"	2025-12-07	Russian Bot CLRMO
"91.79.13.191"	2025-12-07	Russian Bot CLRMO
"46.138.221.231"	2025-12-07	Russian Bot CLRMO
"54.39.29.64"	2025-12-07	Russian Bot CLRMO
"192.241.73.249"	2025-12-07	Russian Bot CLRMO
"36.134.129.39"	2025-12-07	Russian Bot CLRMO
"46.161.11.6"	2025-12-07	Russian Bot CLRMO
"103.251.167.10"	2025-12-07	Russian Bot CLRMO
"139.9.169.41"	2025-12-07	Russian Bot CLRMO
"85.195.206.194"	2025-12-07	Russian Bot CLRMO
"185.243.218.46"	2025-12-07	Russian Bot CLRMO
"5.2.79.179"	2025-12-07	Russian Bot CLRMO
"20.48.104.6"	2025-12-07	Russian Bot CLRMO
"181.215.176.44"	2025-12-07	Russian Bot CLRMO
"124.222.108.160"	2025-12-07	Russian Bot CLRMO
"185.197.74.148"	2025-12-07	Russian Bot CLRMO
"89.22.234.69"	2025-12-07	Russian Bot CLRMO
"89.22.232.73"	2025-12-07	Russian Bot CLRMO
"85.143.106.77"	2025-12-07	Russian Bot CLRMO
"124.223.96.23"	2025-12-07	Russian Bot CLRMO
"37.252.15.124"	2025-12-07	Russian Bot CLRMO
"5.183.61.238"	2025-12-07	Russian Bot CLRMO
"161.8.174.48"	2025-12-07	Russian Bot CLRMO
"5.45.83.197"	2025-12-07	Russian Bot CLRMO
"104.227.172.88"	2025-12-07	Russian Bot CLRMO
"185.245.27.75"	2025-12-07	Russian Bot CLRMO
"45.136.228.59"	2025-12-07	Russian Bot CLRMO
"154.92.114.103"	2025-12-07	Russian Bot CLRMO
"155.138.156.38"	2025-12-07	Russian Bot CLRMO
"64.43.89.235"	2025-12-07	Russian Bot CLRMO
"45.136.228.228"	2025-12-07	Russian Bot CLRMO
"154.85.124.172"	2025-12-07	Russian Bot CLRMO
"84.21.188.68"	2025-12-07	Russian Bot CLRMO
"198.98.51.189"	2025-12-07	Russian Bot CLRMO
"188.134.68.55"	2025-12-07	Russian Bot CLRMO
